employer,department,employee_id,ssn
Stokes Inc,Training,12-6635955,861-50-6716
"Dicki, Green and White",Services,87-1017676,862-20-0653
"Thiel, Parker and Hilpert",Marketing,20-2324966,864-22-9364
"Heidenreich, Stehr and Huel",Sales,89-1713880,864-91-7489
Bartoletti Inc,Support,77-7239839,866-18-1440
Douglas-Breitenberg,Business Development,63-6285198,866-53-0625
Nitzsche-Walker,Engineering,50-5681388,867-11-6007
"Crist, Leuschke and Grimes",Legal,09-8398802,867-13-6844
Emard Inc,Business Development,49-2589434,867-88-2360
Abshire Inc,Research and Development,55-8987515,868-32-1805
"Thompson, Parker and Moen",Research and Development,46-1484106,870-12-6609
"Morissette, Rowe and Muller",Engineering,73-9912953,870-93-1121
"Lueilwitz, Stokes and Kassulke",Marketing,16-1937114,871-99-3191
"Glover, Jacobs and Heidenreich",Sales,72-1577952,872-18-9267
Cummings-Mertz,Sales,78-2291834,872-49-1288
Wilderman-Grimes,Engineering,39-6055619,873-36-4733
Schultz-Medhurst,Support,56-6050344,875-18-9454
Wunsch-Gleason,Services,28-3015726,875-75-0495
"Witting, Schuster and Barton",Research and Development,54-4161357,878-12-8265
Harber-Legros,Training,59-9280036,880-22-4449
"Daugherty, Gislason and Kreiger",Training,25-5973403,881-19-5974
"O'Connell, Raynor and Veum",Sales,16-0843654,881-88-7308
Schumm Inc,Services,18-8360445,881-95-7180
Zulauf Inc,Accounting,46-7067366,882-49-5290
"Stanton, Price and Wehner",Services,16-5769119,884-61-1852
"Ziemann, Denesik and Casper",Research and Development,71-6097002,887-41-7878
Terry and Sons,Research and Development,06-9390159,887-83-9002
"Herzog, Stehr and Quitzon",Engineering,38-5385705,888-50-7008
"Collier, Hilll and Hagenes",Training,15-6651242,888-53-7684
"Reynolds, Nicolas and Morar",Engineering,48-3998718,888-82-4928
"Heller, Kihn and Bartoletti",Research and Development,56-9393666,890-28-9962
Christiansen LLC,Sales,66-1175841,893-12-0901
Orn Inc,Human Resources,38-4356300,893-17-7318
"Flatley, Senger and Bernier",Services,72-2633200,894-81-0628
"Hilll, Kunze and Beer",Human Resources,90-4168298,895-26-1658
Franecki LLC,Services,63-7802530,895-26-5515
Reilly-Jakubowski,Marketing,77-6363112,897-76-7070
Bins-Gerhold,Sales,89-9965641,898-03-3165
Olson-Johnson,Support,36-7761827,898-86-8860
Cronin LLC,Services,83-8730953,899-09-1766
Little-Hansen,Business Development,45-8154226,899-39-7179
"Christiansen, Ondricka and O'Connell",Marketing,32-7034344,899-39-7378
Bednar LLC,Support,16-6342889,899-47-6116
